序号,section,题号,单词,音标,释义
1,S1,Q1,paradox,['pærədɑks],"1.  自相矛盾  (的情况)    You describe a situation as a paradox when it involves two or more facts or qualities that seem to contradict each other.
2.  悖论，似非而是的说法     a statement that seems impossible because it contains two
opposing ideas that are both true"
2,S1,Q1,cosmopolitan,['kɑzmə'pɑlətn],"1. (人等）见多识广的,a cosmopolitan person, belief, opinion etc shows a wide experience of different people and places
2 .( 指地方）世界性的，国际性的（含褒义）a cosmopolitan place has people from many different
parts of the world  –  use this to show approval"
3,S1,Q1,capricious,[kə'prɪʃəs],"反复无常的;  易变的  changing often and quickly : impulsive, unpredictable"
4,S1,Q1,insular,['ɪnsəlɚ],"孤立的；与世隔绝的  separated from other people or cultures : not knowing or interested in
new or different ideas"
5,S1,Q1,mercenary,['mɝsənɛri],唯利是图的  caring only about making money
6,S1,Q1,intransigent,[ɪn'trænzədʒənt],"不妥协的，不让步的  characterized by refusal to compromise or to abandon an extreme
position or attitude : uncompromising"
7,S1,Q2,haunted,['hɔntɪd],"(建筑物或地方）闹鬼的  haunted building or other place is one where a ghost regularly
appears.  "
8,S1,Q2,clamorous,['klæmərəs],"吵闹的  If you describe people or their voices as clamorous, you mean they are talking loudly
or shouting."
9,S1,Q2,invidious,[ɪn'vɪdɪəs],令人讨厌的;  惹人反感的  unpleasant and likely to cause bad feelings in other people
10,S1,Q2,numinous,['nʊmɪnəs],"神圣的;  神秘的  having a mysterious, holy, or spiritual quality"
11,S1,Q2,empirical,[ɪm'pɪrɪkl],"实证的  based on scientific testing or practical experience，not on ideas    反义词：
theoretical"
12,S1,Q2,sonorous,['sɑnərəs],"洪亮的  having a sound that is deep, loud, and pleasant"
13,S1,Q3,dearth,[dɜːθ],"缺乏，不足  If there is a dearth of something, there is not enough of it."
14,S1,Q3,presumption,[pri'zʌmpʃən],"1. (无证据的）推测，假定  a belief that something is true even though it has not been proved
2.  傲慢，自以为是       behaviour that seems rude and too confident"
15,S1,Q3,detection,[dɪ'tɛkʃən],"察觉;  发现  the act or process of discovering, finding,or noticing something"
16,S1,Q3,controversial,"[,kɑntrə'vɝʃl]","有争议的  relating to or causing much discussion, disagreement, or argument"
17,S1,Q3,unambiguous,['ʌnæm'bɪgjʊəs],清楚地，明白的  clearly expressed or understood : not ambiguous
18,S1,Q4,gainsay,"[,gen'se]",否认  to deny or disagree with something : to show or say that something is not true
19,S1,Q4,sterling,['stɝlɪŋ],"(工作或品格)  优秀的  Sterling means very good in quality; used to describe someone's work
or character."
20,S1,Q4,ad hoc,"[,æd'hɔk]","1.  即兴的  made or done without planning because of an immediate need
2.  特别的  formed or used for a special purpose"
21,S1,Q4,superficial,"[,supɚ'fɪʃl]","1. (人)  肤浅的  If you describe someone as superficial, you disapprove of them because they do not think deeply, and have little understanding of anything serious or important.
2.  表面上的     concerned only with what is obvious or apparent : not thorough or complete"
22,S1,Q4,spontaneous,[spɑn'tenɪəs],(人)天真率直的（褒义);     (sth)自发的，自然而生的     done or said in a natural and sudden way and without a lot of thought or planning  ：  instinctive，  involuntary
23,S1,Q4,exhaustive,[ɪg'zɔstɪv],详尽的，全面的  including all possibilities :     very thorough and complete
24,S1,Q5,enigma,[ɪ'nɪgmə],难解之谜  something or someone that is difficult to understand or explain
25,S1,Q5,neutralized,['nʊtrə'laɪzd],"1.  使无效;  使不能正常运作  to stop someone or something from being    effective of harmful 
2.  中立的  to make something, such as a country or area neutral during a war"
26,S1,Q6,intensification,"[ɪn,tɛnsəfə'keʃən]",强化；加剧  to become stronger or more extreme : to become more intense
27,S1,Q6,tedious,['tidɪəs],单调乏味的  boring and too slow or long
28,S1,Q6,exclusive,[ɪk'sklusɪv],专用的;  独有的  not shared : available to only one person or group
29,S1,Q6,fickle,['fɪkl],善变的  changing    often
30,S1,Q6,antiquarian,"[,æntɪ'kwɛrɪən]",古董的  Antiquarian means concerned with old and rare objects.
31,S1,Q6,comprehensive,[ˌkɑːmprɪˈhensɪv],"全面的，广泛的  including all the necessary facts,details,or problems that need to be dealt
with : thorough,inclusive"
32,S1,Q6,legitimate,[ləˈdʒɪtəmɪt],"1.  合理的  If you say that something such as a feeling or claim is legitimate, you think that it is reasonable and justified.
2.合法的  Something that is legitimate is acceptable according to the law."
33,S1,Q7,partiality,['pɑrʃɪ'æləti],"偏心；偏袒  an unfair tendency to treat one person, group, or thing better than another"
34,S1,Q7,deviate from,['divɪet] [frʌm],"从…偏离；违背(原则)；脱离(常规等) to do something that is different or to be different from
what is usual or expected"
35,S1,Q7,succumb to,[sə'kʌm] [tə;tu;tuː],屈服  to stop trying to resist something
36,S1,Q7,recoil from,['rikɔɪl] [frʌm],"(因厌恶,害怕等而)  拒绝     to quickly move away from something that is shocking, frightening,
or disgusting"
37,S1,Q7,yield to,[jild] [tə;tu;tuː],"屈服  If you yield to someone or something, you stop resisting them."
38,S1,Q7,shrink from,[ʃrɪŋk] [frʌm],"逃避  (不愉快或危险的事) If you do not shrink from a task or duty, you do it even though it is
unpleasant or dangerous."
39,S1,Q8,singular,['sɪŋɡjəlɚ],"1.  单一的  of or relating to a separate person or thing : individual
2.  非凡的  better or greater than what is usual or normal"
40,S1,Q8,unique,[jʊ'nik],"1. being the only one of its kind : individual, different
2.  极不寻常的;  独特的  very unusual or special"
41,S1,Q8,archaic,[ɑr'keɪk],"陈旧的，古老的  of, relating to , or more primitive time : antiquated"
42,S1,Q8,counterfeit,['kaʊntɚ'fɪt],"1.  伪造的  made to look like an exact copy of something in order to deceive people
2.  虚伪的  insincere ,feigned"
43,S1,Q8,fake,[feɪk],"伪造的  not true or real : meant to look real or genuine but not real or genuine : counterfeit ,
sham"
44,S1,Q9,epilogue,['ɛpɪlɔg],"(书的)后记; (戏剧的)收场白    An epilogue is a passage or speech that is added to the end of a
book or play as a conclusion."
45,S1,Q9,imprecision,['ɪmprɪ'sɪʒən],不精确，不明确  not clear or exact : not precise
46,S1,Q9,overstatement,"[,əuvə'steitmənt]",夸大其辞  to state in too strong terms : exaggerate
47,S1,Q9,misinterpretation,"[,mɪsɪn,tɝprɪ'teʃən]",误解  to understand or explain something incorrectly : to interpret something incorrectly
48,S1,Q9,vague,[veg],"模糊的  not clearly or precisely expressed ;    not clear in meaning ;    not completely formed
or developed"
49,S1,Q9,exaggeration,"[ɪg,zædʒə'reʃən]",夸张  to enlarge beyond bounds or the truth : overstate
50,S1,Q9,hyperbole,[haɪ'pɝbəli],夸张  extravagant exaggeration
51,S1,Q10,upheaval,[ʌp'hivl],"动乱  a major change or period of change that causes a lot of conflict, confusion, anger, etc."
52,S1,Q10,imminent,['ɪmɪnənt],即将到来的  happening very soon
53,S1,Q10,prescient,['prɛsɪənt],有先见之明的，预知的  the ability to know what will or might happen in the future
54,S1,Q10,prophetic,[prə'fɛtɪk],预知的  correctly stating what will happen in the future
55,S1,Q10,indifferent,[ɪn'dɪfrənt],"1.  没兴趣的，冷淡的  marked by a lack of enthusiasm : apathetic
2.  公正的  marked by impartiality : unbiased"
56,S1,Q10,apathetic,"[,æpə'θɛtɪk]",没兴趣的  having little or interest or concern：  indifferent
57,S2,Q1,impenetrable,[ɪm'pɛnɪtrəbl],"1.不能穿透的  impossible to pass or see through
2.不能理解的  impossible to understand"
58,S2,Q1,immutable,[ɪ'mjutəbl],不变的  unable to be changed
59,S2,Q1,proprietary,[prə'praɪətɛri],"专有的  used, made, or sold only by the particular person or company that has the legal right
to do so"
60,S2,Q1,didactic,[daɪ'dæktɪk],说教的  designed or intended to teach people something
61,S2,Q1,self-perpetuating,['selfpə'petʃueitiŋ],"能使自身永久存在的  (of machine, emotion, idea, etc) continuing or prevailing without any
external agency or intervention"
62,S2,Q2,mysterious,[mɪ'stɪrɪəs],"神秘的;  难以理解的  strange, unknown, or difficult to understand"
63,S2,Q2,diversity,[dɪˈvəsɪti],"多样性  the quality or state of having many different forms, types, ideas,etc"
64,S2,Q2,plasticity,[plæ'stɪsəti],可塑性  the quality of being able to be made into different shapes
65,S2,Q3,lopsided,"[,lɑp'saɪdɪd]",不平衡的  uneven or unequal
66,S2,Q3,feeble,['fibl],"1.  虚弱的  very weak
2. inadequate, inferior"
67,S2,Q3,swift,[swɪft],迅速的  happening very quickly or without delay
68,S2,Q3,robust,[ro'bʌst],"1.  健康的，强健的  strong and healthy
2.强有力的  (观点、见解) Robust views or opinions are strongly held and forcefully expressed."
69,S2,Q3,turbulent,['tɝbjələnt],"动荡的  full of    confusion, violence, or disorder : not stable or steady"
70,S2,Q4,lavish,['lævɪʃ],"1.  浪费的  expending or bestowing profusely : prodigal
2.  大量的，丰富的  marked by profusion or excess"
71,S2,Q4,routinely,[rʊ'tinli],"例行地;  常规性地  If something is routinely done, it is done as a normal part of a job or
process."
72,S2,Q4,vacant,['vekənt],"1.  空的  not filled, used, or lived in
2.  空缺的  of a job or position : not occupied by a person
3.  茫然的  devoid of thought, reflection, or expression"
73,S2,Q4,unimpeded,"[,ʌnɪm'pidɪd]","未受阻止的;  未受妨碍的  If something moves or happens unimpeded, it continues without
being stopped or interrupted by anything."
74,S2,Q5,repertoire,['rɛpɚ'twɑr],"全部曲目;  保留剧目  A performer's repertoire is all the plays or pieces of music that he or she
has learned and can perform."
75,S2,Q5,tease apart,[tiz] [ə'pɑrt],梳理  disentangle
76,S2,Q5,straightforward,"[,stret'fɔrwɚd]","1.    易懂的  easy to do or understand : not complicated  
2.  坦率的  free from evasiveness or obscurity : exact, candid"
77,S2,Q5,augment,[ɔg'mɛnt],"增加  To augment something means to make it larger, stronger, or more effective by adding
something to it."
78,S2,Q5,ameliorate,[ə'milɪə'ret],"改善，减轻  to make better, less painful, etc"
79,S2,Q5,anticipate,[æn'tɪsə'pet],"1.  预期/料  to expect that sth will happen and be ready for it
2.  期待(好事）to think about sth good that is gonna happen.
3.  先于…之前(做) to do sth before sb else : forestall, prevent"
80,S2,Q6,ironic,[aɪ'rɑnɪk],"讽刺的    using words that mean the opposite of what you really think especially in order to
be funny"
81,S2,Q6,honorific,['ɑnə'rɪfɪk],尊敬的  showing    respect or honour to someone
82,S2,Q6,malign,[mə'laɪn],"1. adj.  有害的  causing or intended to cause harm
2. v.  诽谤，中伤  to say bad things about someone or something publicly : to criticize
someone or something harshly or unfairly"
83,S2,Q6,negotiate,[nɪ'ɡoʃɪet],"1.  谈判  If people negotiate with each other or negotiate an agreement, they talk about a problem or a situation such as a business arrangement in order to solve the problem or complete the arrangement.
2.  成功越过  If you negotiate an area of land, a place, or an obstacle, you successfully travel
across it or around it."
84,S2,Q6,compromise,['kɑmprəmaɪz],"1.  妥协，放弃  to give up something that you want in order to reach an agreement
2.  危害  to damage or weaken something"
85,S2,Q7,disclose,[dɪs'kloz],公开，揭露  to make something known to the public
86,S2,Q7,brook,[brʊk],容忍，允许  to allow something to exist or happen
87,S2,Q7,repudiate,[rɪ'pjudɪet],拒绝，驳斥  to refuse to accept or support something : to reject something or someone
88,S2,Q7,regurgitate,[rɪ'ɡɝdʒɪtet],"1.  反刍  to bring food that has been swallowed back to and out of the mouth
2.  重申观点  to repeat something, such as a fact, idea,etc without understanding it"
89,S2,Q8,beneficence,[bɪ'nefɪsəns],善行;  慈善  the act of doing good; kindness
90,S2,Q8,altruism,['æltruɪzəm],利他主义  Altruism is unselfish concern for other people's happiness and welfare.
91,S2,Q9,sanguinity,[sæn'ɡwɪnəti],自信  confident and hopeful
92,S2,Q9,verisimilitude,"[,verɪsɪ'mɪlɪtjuːd]",逼真  the quality of seeming to be true or real
